imo,vessel_name,Type,GT,latitude,longitude,timestamp,tloc
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.130,-6.830,2024-04-01 08:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.132,-6.840,2024-04-01 09:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.135,-6.855,2024-04-01 10:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.140,-6.870,2024-04-01 11:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.150,-6.890,2024-04-01 12:30:00,1
9658722,HUELVA STAR,Cruise Ship,65000,37.130,-6.830,2024-04-05 10:00:00,1
9658722,HUELVA STAR,Cruise Ship,65000,37.135,-6.845,2024-04-05 11:00:00,1
9658722,HUELVA STAR,Cruise Ship,65000,37.140,-6.860,2024-04-05 12:00:00,1
9658722,HUELVA STAR,Cruise Ship,65000,37.145,-6.875,2024-04-05 13:00:00,1
9658722,HUELVA STAR,Cruise Ship,65000,37.150,-6.890,2024-04-05 14:00:00,1
9204063,IBERIA CONTAINER,Container Ship,94000,37.130,-6.830,2024-04-08 09:00:00,1
9204063,IBERIA CONTAINER,Container Ship,94000,37.135,-6.845,2024-04-08 10:00:00,1
9204063,IBERIA CONTAINER,Container Ship,94000,37.140,-6.860,2024-04-08 11:00:00,1
9204063,IBERIA CONTAINER,Container Ship,94000,37.145,-6.875,2024-04-08 12:00:00,1
9204063,IBERIA CONTAINER,Container Ship,94000,37.150,-6.890,2024-04-08 13:00:00,1
9356426,ANDALUCIA BULK,Bulk Carrier,45000,37.130,-6.830,2024-04-12 07:00:00,1
9356426,ANDALUCIA BULK,Bulk Carrier,45000,37.125,-6.820,2024-04-12 08:00:00,1
9356426,ANDALUCIA BULK,Bulk Carrier,45000,37.120,-6.810,2024-04-12 09:00:00,1
9356426,ANDALUCIA BULK,Bulk Carrier,45000,37.115,-6.800,2024-04-12 10:00:00,1
9356426,ANDALUCIA BULK,Bulk Carrier,45000,37.110,-6.790,2024-04-12 11:00:00,1
9451070,SEVILLA EXPRESS,Ro-Ro Ship,32000,37.130,-6.830,2024-04-15 06:00:00,1
9451070,SEVILLA EXPRESS,Ro-Ro Ship,32000,37.125,-6.825,2024-04-15 07:00:00,1
9451070,SEVILLA EXPRESS,Ro-Ro Ship,32000,37.120,-6.820,2024-04-15 08:00:00,1
9451070,SEVILLA EXPRESS,Ro-Ro Ship,32000,37.115,-6.815,2024-04-15 09:00:00,1
